College,Fall Term,Record Type Code,Record Type Description,Head Count,Percentage
CUNY Hunter College,Fall 2004,2,150 Time Graduation,1824,46.2
CUNY Hunter College,Fall 2003,1,1 Year Retention,1661,81.5
CUNY Hunter College,Fall 2003,2,150 Time Graduation,1661,43.7
CUNY Hunter College,Fall 2002,1,1 Year Retention,1445,78.9
CUNY Hunter College,Fall 2002,2,150 Time Graduation,1445,41.9
CUNY Hunter College,Fall 2001,1,1 Year Retention,1877,77.3
CUNY Hunter College,Fall 2001,2,150 Time Graduation,1877,35.9
CUNY Hunter College,Fall 2000,1,1 Year Retention,1741,77.6
CUNY Hunter College,Fall 2000,2,150 Time Graduation,1741,37.5
CUNY Hunter College,Fall 1999,1,1 Year Retention,1806,77.5
CUNY Hunter College,Fall 1999,2,150 Time Graduation,1806,36.7
CUNY Hunter College,Fall 1998,1,1 Year Retention,1467,75.4
CUNY Hunter College,Fall 1998,2,150 Time Graduation,1467,31.9
CUNY Hunter College,Fall 1997,1,1 Year Retention,1630,75.5
CUNY Hunter College,Fall 1997,2,150 Time Graduation,1630,32.8
CUNY Hunter College,Fall 1996,1,1 Year Retention,1456,76.7
CUNY Hunter College,Fall 1996,2,150 Time Graduation,1456,31.7
CUNY Hunter College,Fall 1995,1,1 Year Retention,1091,78.3
CUNY Hunter College,Fall 1995,2,150 Time Graduation,1091,31.3
CUNY Hunter College,Fall 1994,1,1 Year Retention,1523,74.9
CUNY Hunter College,Fall 1994,2,150 Time Graduation,1523,26.7
CUNY Hunter College,Fall 1993,1,1 Year Retention,1308,77.6
CUNY Hunter College,Fall 1993,2,150 Time Graduation,1308,25.1
CUNY Hunter College,Fall 1992,1,1 Year Retention,936,77.9
CUNY Hunter College,Fall 1992,2,150 Time Graduation,936,26.7
CUNY Hunter College,Fall 1991,1,1 Year Retention,808,80.7
CUNY Hunter College,Fall 1991,2,150 Time Graduation,808,29.3
CUNY Hunter College,Fall 1990,1,1 Year Retention,1001,77.6
CUNY Hunter College,Fall 1990,2,150 Time Graduation,1001,29.2
CUNY John Jay College of Criminal Justice,Fall 2017,1,1 Year Retention,1831,79.9
CUNY John Jay College of Criminal Justice,Fall 2016,1,1 Year Retention,1506,77.9
CUNY John Jay College of Criminal Justice,Fall 2015,1,1 Year Retention,1479,77.2
CUNY John Jay College of Criminal Justice,Fall 2014,1,1 Year Retention,1744,77.6
CUNY John Jay College of Criminal Justice,Fall 2013,1,1 Year Retention,1850,78.9
CUNY John Jay College of Criminal Justice,Fall 2012,1,1 Year Retention,1891,77.9
CUNY John Jay College of Criminal Justice,Fall 2012,2,150 Time Graduation,1891,46.4
CUNY John Jay College of Criminal Justice,Fall 2011,1,1 Year Retention,1745,77.9
CUNY John Jay College of Criminal Justice,Fall 2011,2,150 Time Graduation,1745,47.4
CUNY John Jay College of Criminal Justice,Fall 2010,1,1 Year Retention,1994,78.4
CUNY John Jay College of Criminal Justice,Fall 2010,2,150 Time Graduation,1994,43.8
CUNY John Jay College of Criminal Justice,Fall 2009,1,1 Year Retention,1628,76.7
CUNY John Jay College of Criminal Justice,Fall 2009,2,150 Time Graduation,1628,40.9
CUNY John Jay College of Criminal Justice,Fall 2008,1,1 Year Retention,1401,74.9
CUNY John Jay College of Criminal Justice,Fall 2008,2,150 Time Graduation,1401,43.7
CUNY John Jay College of Criminal Justice,Fall 2007,1,1 Year Retention,1280,72.3
CUNY John Jay College of Criminal Justice,Fall 2007,2,150 Time Graduation,1280,43.4
CUNY John Jay College of Criminal Justice,Fall 2006,1,1 Year Retention,1018,74.1
CUNY John Jay College of Criminal Justice,Fall 2006,2,150 Time Graduation,1018,43.1
CUNY John Jay College of Criminal Justice,Fall 2005,1,1 Year Retention,1168,74
CUNY John Jay College of Criminal Justice,Fall 2005,2,150 Time Graduation,1168,39.4
CUNY John Jay College of Criminal Justice,Fall 2004,1,1 Year Retention,1167,72.7
CUNY John Jay College of Criminal Justice,Fall 2004,2,150 Time Graduation,1167,40.1
CUNY John Jay College of Criminal Justice,Fall 2003,1,1 Year Retention,949,75.6
CUNY John Jay College of Criminal Justice,Fall 2003,2,150 Time Graduation,949,41.7
CUNY John Jay College of Criminal Justice,Fall 2002,1,1 Year Retention,815,76.6
CUNY John Jay College of Criminal Justice,Fall 2002,2,150 Time Graduation,815,42.7
CUNY John Jay College of Criminal Justice,Fall 2001,1,1 Year Retention,850,76.4
CUNY John Jay College of Criminal Justice,Fall 2001,2,150 Time Graduation,850,42.1
CUNY John Jay College of Criminal Justice,Fall 2000,1,1 Year Retention,778,75.3
CUNY John Jay College of Criminal Justice,Fall 2000,2,150 Time Graduation,778,42.3
CUNY John Jay College of Criminal Justice,Fall 1999,1,1 Year Retention,957,73
CUNY John Jay College of Criminal Justice,Fall 1999,2,150 Time Graduation,957,35.7
CUNY John Jay College of Criminal Justice,Fall 1998,1,1 Year Retention,1141,71.4
CUNY John Jay College of Criminal Justice,Fall 1998,2,150 Time Graduation,1141,31.6
CUNY John Jay College of Criminal Justice,Fall 1997,1,1 Year Retention,929,68.2
CUNY John Jay College of Criminal Justice,Fall 1997,2,150 Time Graduation,929,31.6
CUNY John Jay College of Criminal Justice,Fall 1996,1,1 Year Retention,929,66.5
CUNY John Jay College of Criminal Justice,Fall 1996,2,150 Time Graduation,929,32.1
CUNY John Jay College of Criminal Justice,Fall 1995,1,1 Year Retention,958,68.2
CUNY John Jay College of Criminal Justice,Fall 1995,2,150 Time Graduation,958,29.9
CUNY John Jay College of Criminal Justice,Fall 1994,1,1 Year Retention,946,67.2
CUNY John Jay College of Criminal Justice,Fall 1994,2,150 Time Graduation,946,28.3
CUNY John Jay College of Criminal Justice,Fall 1993,1,1 Year Retention,940,62.7
CUNY John Jay College of Criminal Justice,Fall 1993,2,150 Time Graduation,940,25.5
CUNY John Jay College of Criminal Justice,Fall 1992,1,1 Year Retention,842,63.8
CUNY John Jay College of Criminal Justice,Fall 1992,2,150 Time Graduation,842,24.5
CUNY John Jay College of Criminal Justice,Fall 1991,1,1 Year Retention,773,61.2
CUNY John Jay College of Criminal Justice,Fall 1991,2,150 Time Graduation,773,23.3
CUNY John Jay College of Criminal Justice,Fall 1990,1,1 Year Retention,794,62
CUNY John Jay College of Criminal Justice,Fall 1990,2,150 Time Graduation,794,22.3
CUNY Kingsborough Community College,Fall 2017,1,1 Year Retention,1848,68
CUNY Kingsborough Community College,Fall 2016,1,1 Year Retention,2018,70.4
CUNY Kingsborough Community College,Fall 2015,1,1 Year Retention,2233,70.1
CUNY Kingsborough Community College,Fall 2015,2,150 Time Graduation,2233,31.9
CUNY Kingsborough Community College,Fall 2014,1,1 Year Retention,2418,67.2
CUNY Kingsborough Community College,Fall 2014,2,150 Time Graduation,2418,27.9
CUNY Kingsborough Community College,Fall 2013,1,1 Year Retention,2532,67.2
CUNY Kingsborough Community College,Fall 2013,2,150 Time Graduation,2532,28.2
CUNY Kingsborough Community College,Fall 2012,1,1 Year Retention,2517,67
CUNY Kingsborough Community College,Fall 2012,2,150 Time Graduation,2517,26.2
CUNY Kingsborough Community College,Fall 2011,1,1 Year Retention,2542,66.8
CUNY Kingsborough Community College,Fall 2011,2,150 Time Graduation,2542,23.4
CUNY Kingsborough Community College,Fall 2010,1,1 Year Retention,2673,66.5
CUNY Kingsborough Community College,Fall 2010,2,150 Time Graduation,2673,18.7
CUNY Kingsborough Community College,Fall 2009,1,1 Year Retention,2773,69.1
CUNY Kingsborough Community College,Fall 2009,2,150 Time Graduation,2773,21.8
CUNY Kingsborough Community College,Fall 2008,1,1 Year Retention,2188,70.3
CUNY Kingsborough Community College,Fall 2008,2,150 Time Graduation,2188,21.9
CUNY Kingsborough Community College,Fall 2007,1,1 Year Retention,2016,66.2
CUNY Kingsborough Community College,Fall 2007,2,150 Time Graduation,2016,25.1
CUNY Kingsborough Community College,Fall 2006,1,1 Year Retention,1841,64.5
CUNY Kingsborough Community College,Fall 2006,2,150 Time Graduation,1841,20.5
CUNY Kingsborough Community College,Fall 2005,1,1 Year Retention,1815,64.9
CUNY Kingsborough Community College,Fall 2005,2,150 Time Graduation,1815,22.2
CUNY Kingsborough Community College,Fall 2004,1,1 Year Retention,1787,66.8
CUNY Kingsborough Community College,Fall 2004,2,150 Time Graduation,1787,21.9
CUNY Kingsborough Community College,Fall 2003,1,1 Year Retention,1654,64.4
CUNY Kingsborough Community College,Fall 2003,2,150 Time Graduation,1654,24.1
CUNY Kingsborough Community College,Fall 2002,1,1 Year Retention,1776,63.5
CUNY Kingsborough Community College,Fall 2002,2,150 Time Graduation,1776,24.5
CUNY Kingsborough Community College,Fall 2001,1,1 Year Retention,1863,60.8
CUNY Kingsborough Community College,Fall 2001,2,150 Time Graduation,1863,18.7
CUNY Kingsborough Community College,Fall 2000,1,1 Year Retention,1917,63.4
CUNY Kingsborough Community College,Fall 2000,2,150 Time Graduation,1917,16.8
CUNY Kingsborough Community College,Fall 1999,1,1 Year Retention,1972,62.3
CUNY Kingsborough Community College,Fall 1999,2,150 Time Graduation,1972,14.5
CUNY Kingsborough Community College,Fall 1998,1,1 Year Retention,1776,69.5
CUNY Kingsborough Community College,Fall 1998,2,150 Time Graduation,1776,20.2
CUNY Kingsborough Community College,Fall 1997,1,1 Year Retention,1776,67.3
CUNY Kingsborough Community College,Fall 1997,2,150 Time Graduation,1776,22.4
CUNY Medgar Evers College,Fall 2017,1,1 Year Retention,149,58.4
CUNY Kingsborough Community College,Fall 1996,1,1 Year Retention,1946,66.1
CUNY Kingsborough Community College,Fall 1996,2,150 Time Graduation,1946,21.9
CUNY Kingsborough Community College,Fall 1995,1,1 Year Retention,1882,66.8
CUNY Kingsborough Community College,Fall 1995,2,150 Time Graduation,1882,23.3
CUNY Kingsborough Community College,Fall 1994,1,1 Year Retention,2099,62.7
CUNY Kingsborough Community College,Fall 1994,2,150 Time Graduation,2099,19
CUNY Kingsborough Community College,Fall 1993,1,1 Year Retention,2178,66.1
CUNY Kingsborough Community College,Fall 1993,2,150 Time Graduation,2178,19.6
CUNY Kingsborough Community College,Fall 1992,1,1 Year Retention,2195,67.1
CUNY Kingsborough Community College,Fall 1992,2,150 Time Graduation,2195,21.7
CUNY Kingsborough Community College,Fall 1991,1,1 Year Retention,2023,65.4
CUNY Kingsborough Community College,Fall 1991,2,150 Time Graduation,2023,23.1
CUNY Kingsborough Community College,Fall 1990,1,1 Year Retention,1925,65.4
CUNY Kingsborough Community College,Fall 1990,2,150 Time Graduation,1925,23
CUNY LaGuardia Community College,Fall 2017,1,1 Year Retention,2556,64.7
CUNY LaGuardia Community College,Fall 2016,1,1 Year Retention,2627,64.6
CUNY LaGuardia Community College,Fall 2015,1,1 Year Retention,2472,63.5
CUNY LaGuardia Community College,Fall 2015,2,150 Time Graduation,2472,27
CUNY LaGuardia Community College,Fall 2014,1,1 Year Retention,2576,63
CUNY LaGuardia Community College,Fall 2014,2,150 Time Graduation,2576,22.9
CUNY LaGuardia Community College,Fall 2013,1,1 Year Retention,2480,66.1
CUNY LaGuardia Community College,Fall 2013,2,150 Time Graduation,2480,22.1
CUNY LaGuardia Community College,Fall 2012,1,1 Year Retention,2630,63
CUNY LaGuardia Community College,Fall 2012,2,150 Time Graduation,2630,20.1
CUNY LaGuardia Community College,Fall 2011,1,1 Year Retention,2598,65.3
CUNY LaGuardia Community College,Fall 2011,2,150 Time Graduation,2598,16.4
CUNY LaGuardia Community College,Fall 2010,1,1 Year Retention,2771,67.8
CUNY LaGuardia Community College,Fall 2010,2,150 Time Graduation,2771,16.8
CUNY LaGuardia Community College,Fall 2009,1,1 Year Retention,2352,68.6
CUNY LaGuardia Community College,Fall 2009,2,150 Time Graduation,2352,17
CUNY LaGuardia Community College,Fall 2008,1,1 Year Retention,2231,65.1
CUNY LaGuardia Community College,Fall 2008,2,150 Time Graduation,2231,13.6
CUNY LaGuardia Community College,Fall 2007,1,1 Year Retention,2197,64.3
CUNY LaGuardia Community College,Fall 2007,2,150 Time Graduation,2197,15.5
CUNY LaGuardia Community College,Fall 2006,1,1 Year Retention,2050,64.4
CUNY LaGuardia Community College,Fall 2006,2,150 Time Graduation,2050,12.8
CUNY LaGuardia Community College,Fall 2005,1,1 Year Retention,1794,61.4
CUNY LaGuardia Community College,Fall 2005,2,150 Time Graduation,1794,14.7
CUNY LaGuardia Community College,Fall 2004,1,1 Year Retention,1881,62.6
CUNY LaGuardia Community College,Fall 2004,2,150 Time Graduation,1881,13.6
CUNY LaGuardia Community College,Fall 2003,1,1 Year Retention,1859,61.4
CUNY LaGuardia Community College,Fall 2003,2,150 Time Graduation,1859,13.1
CUNY LaGuardia Community College,Fall 2002,1,1 Year Retention,1902,61
CUNY LaGuardia Community College,Fall 2002,2,150 Time Graduation,1902,12.8
CUNY LaGuardia Community College,Fall 2001,1,1 Year Retention,1513,63.7
CUNY LaGuardia Community College,Fall 2001,2,150 Time Graduation,1513,13.2
CUNY LaGuardia Community College,Fall 2000,1,1 Year Retention,1752,64.6
CUNY LaGuardia Community College,Fall 2000,2,150 Time Graduation,1752,13.6
CUNY LaGuardia Community College,Fall 1999,1,1 Year Retention,1792,64.1
CUNY LaGuardia Community College,Fall 1999,2,150 Time Graduation,1792,14.5
CUNY LaGuardia Community College,Fall 1998,1,1 Year Retention,1912,63.9
CUNY LaGuardia Community College,Fall 1998,2,150 Time Graduation,1912,15.1
CUNY LaGuardia Community College,Fall 1997,1,1 Year Retention,1882,65.4
CUNY LaGuardia Community College,Fall 1997,2,150 Time Graduation,1882,16.3
CUNY LaGuardia Community College,Fall 1996,1,1 Year Retention,2001,64.7
CUNY LaGuardia Community College,Fall 1996,2,150 Time Graduation,2001,13.8
CUNY LaGuardia Community College,Fall 1995,1,1 Year Retention,1841,66.9
CUNY Medgar Evers College,Fall 2016,1,1 Year Retention,105,70.5
CUNY LaGuardia Community College,Fall 1995,2,150 Time Graduation,1841,15.3
CUNY LaGuardia Community College,Fall 1994,1,1 Year Retention,2017,63.1
CUNY LaGuardia Community College,Fall 1994,2,150 Time Graduation,2017,11.7
CUNY LaGuardia Community College,Fall 1993,1,1 Year Retention,2053,62.6
CUNY LaGuardia Community College,Fall 1993,2,150 Time Graduation,2053,9.8
CUNY LaGuardia Community College,Fall 1992,1,1 Year Retention,1946,65.1
CUNY LaGuardia Community College,Fall 1992,2,150 Time Graduation,1946,11.9
CUNY LaGuardia Community College,Fall 1991,1,1 Year Retention,1982,59.8
CUNY LaGuardia Community College,Fall 1991,2,150 Time Graduation,1982,12.5
CUNY LaGuardia Community College,Fall 1990,1,1 Year Retention,1856,61.4
CUNY LaGuardia Community College,Fall 1990,2,150 Time Graduation,1856,14.8
CUNY Lehman College,Fall 2017,1,1 Year Retention,919,80.7
CUNY Lehman College,Fall 2016,1,1 Year Retention,672,83.2
CUNY Lehman College,Fall 2015,1,1 Year Retention,610,85.7
CUNY Lehman College,Fall 2014,1,1 Year Retention,660,82.6
CUNY Lehman College,Fall 2013,1,1 Year Retention,582,82.6
CUNY Lehman College,Fall 2012,1,1 Year Retention,535,81.5
CUNY Lehman College,Fall 2012,2,150 Time Graduation,535,49
CUNY Lehman College,Fall 2011,1,1 Year Retention,608,82.1
CUNY Lehman College,Fall 2011,2,150 Time Graduation,608,45.6
CUNY Lehman College,Fall 2010,1,1 Year Retention,619,79
CUNY Lehman College,Fall 2010,2,150 Time Graduation,619,43.6
CUNY Lehman College,Fall 2009,1,1 Year Retention,754,80.4
CUNY Lehman College,Fall 2009,2,150 Time Graduation,754,37.8
CUNY Lehman College,Fall 2008,1,1 Year Retention,987,77.1
CUNY Lehman College,Fall 2008,2,150 Time Graduation,987,37.1
CUNY Lehman College,Fall 2007,1,1 Year Retention,874,72
CUNY Lehman College,Fall 2007,2,150 Time Graduation,874,37
CUNY Lehman College,Fall 2006,1,1 Year Retention,911,73.3
CUNY Lehman College,Fall 2006,2,150 Time Graduation,911,34.9
CUNY Lehman College,Fall 2005,1,1 Year Retention,788,76.8
CUNY Lehman College,Fall 2005,2,150 Time Graduation,788,40.4
CUNY Lehman College,Fall 2004,1,1 Year Retention,852,73.6
CUNY Lehman College,Fall 2004,2,150 Time Graduation,852,34.5
CUNY Lehman College,Fall 2003,1,1 Year Retention,790,73.8
CUNY Lehman College,Fall 2003,2,150 Time Graduation,790,30.8
CUNY Lehman College,Fall 2002,1,1 Year Retention,729,72.7
CUNY Lehman College,Fall 2002,2,150 Time Graduation,729,33.6
CUNY Lehman College,Fall 2001,1,1 Year Retention,642,69.9
CUNY Lehman College,Fall 2001,2,150 Time Graduation,642,33.6
CUNY Lehman College,Fall 2000,1,1 Year Retention,542,73.8
CUNY Lehman College,Fall 2000,2,150 Time Graduation,542,30.4
CUNY Lehman College,Fall 1999,1,1 Year Retention,604,76.2
CUNY Lehman College,Fall 1999,2,150 Time Graduation,604,33.9
CUNY Lehman College,Fall 1998,1,1 Year Retention,581,77.3
CUNY Lehman College,Fall 1998,2,150 Time Graduation,581,35.1
CUNY Lehman College,Fall 1997,1,1 Year Retention,736,72.8
CUNY Lehman College,Fall 1997,2,150 Time Graduation,736,30.3
CUNY Lehman College,Fall 1996,1,1 Year Retention,605,72.4
CUNY Lehman College,Fall 1996,2,150 Time Graduation,605,28.6
CUNY Lehman College,Fall 1995,1,1 Year Retention,506,67.4
CUNY Lehman College,Fall 1995,2,150 Time Graduation,506,28.7
CUNY Lehman College,Fall 1994,1,1 Year Retention,647,69.6
CUNY Lehman College,Fall 1994,2,150 Time Graduation,647,27.2
CUNY Lehman College,Fall 1993,1,1 Year Retention,663,68
CUNY Lehman College,Fall 1993,2,150 Time Graduation,663,25
CUNY Lehman College,Fall 1992,1,1 Year Retention,692,70.1
CUNY Lehman College,Fall 1992,2,150 Time Graduation,692,23
CUNY Lehman College,Fall 1991,1,1 Year Retention,711,69.6
CUNY Lehman College,Fall 1991,2,150 Time Graduation,711,20.5
CUNY Lehman College,Fall 1990,1,1 Year Retention,799,63.2
CUNY Lehman College,Fall 1990,2,150 Time Graduation,799,18.5
CUNY Medgar Evers College,Fall 2015,1,1 Year Retention,107,66.4
CUNY Medgar Evers College,Fall 2014,1,1 Year Retention,111,63.1
CUNY Medgar Evers College,Fall 2013,1,1 Year Retention,43,65.1
CUNY Medgar Evers College,Fall 2012,1,1 Year Retention,68,64.7
CUNY Medgar Evers College,Fall 2012,2,150 Time Graduation,68,10.3
CUNY Medgar Evers College,Fall 2011,1,1 Year Retention,87,65.5
CUNY Medgar Evers College,Fall 2011,2,150 Time Graduation,87,23
CUNY Medgar Evers College,Fall 2010,1,1 Year Retention,199,63.8
CUNY Medgar Evers College,Fall 2010,2,150 Time Graduation,199,17.1
CUNY Medgar Evers College,Fall 2009,1,1 Year Retention,180,63.9
CUNY Medgar Evers College,Fall 2009,2,150 Time Graduation,180,19.4
CUNY Medgar Evers College,Fall 2008,1,1 Year Retention,221,69.2
CUNY Medgar Evers College,Fall 2008,2,150 Time Graduation,221,13.6
CUNY Medgar Evers College,Fall 2007,1,1 Year Retention,225,56
CUNY Medgar Evers College,Fall 2007,2,150 Time Graduation,225,14.7
CUNY Medgar Evers College,Fall 2006,1,1 Year Retention,176,61.4
CUNY Medgar Evers College,Fall 2006,2,150 Time Graduation,176,17
CUNY Medgar Evers College,Fall 2005,1,1 Year Retention,18,61.1
CUNY Medgar Evers College,Fall 2005,2,150 Time Graduation,18,38.9
CUNY Medgar Evers College,Fall 2004,1,1 Year Retention,30,50
CUNY Medgar Evers College,Fall 2004,2,150 Time Graduation,30,23.3
CUNY Medgar Evers College,Fall 2003,1,1 Year Retention,19,63.2
CUNY Medgar Evers College,Fall 2003,2,150 Time Graduation,19,5.3
CUNY Medgar Evers College,Fall 2002,1,1 Year Retention,32,65.6
CUNY Medgar Evers College,Fall 2002,2,150 Time Graduation,32,21.9
CUNY Medgar Evers College,Fall 2001,1,1 Year Retention,58,60.3
CUNY Medgar Evers College,Fall 2001,2,150 Time Graduation,58,10.3
CUNY Medgar Evers College,Fall 2000,1,1 Year Retention,15,86.7
CUNY Medgar Evers College,Fall 2000,2,150 Time Graduation,15,20
CUNY Medgar Evers College,Fall 1999,1,1 Year Retention,17,58.8
CUNY Medgar Evers College,Fall 1999,2,150 Time Graduation,17,17.6
CUNY Medgar Evers College,Fall 1998,1,1 Year Retention,27,48.1
CUNY Medgar Evers College,Fall 1998,2,150 Time Graduation,27,7.4
CUNY Medgar Evers College,Fall 1997,1,1 Year Retention,28,53.6
CUNY Medgar Evers College,Fall 1997,2,150 Time Graduation,28,10.7
CUNY Medgar Evers College,Fall 1996,1,1 Year Retention,31,64.5
CUNY Medgar Evers College,Fall 1996,2,150 Time Graduation,31,16.1
CUNY Medgar Evers College,Fall 1995,1,1 Year Retention,18,61.1
CUNY Medgar Evers College,Fall 1995,2,150 Time Graduation,18,11.1
CUNY Medgar Evers College,Fall 1994,1,1 Year Retention,4,50
CUNY Medgar Evers College,Fall 1994,2,150 Time Graduation,4,0
CUNY Medgar Evers College,Fall 1993,1,1 Year Retention,10,90
CUNY Medgar Evers College,Fall 1993,2,150 Time Graduation,10,10
CUNY Medgar Evers College,Fall 1992,1,1 Year Retention,11,54.5
CUNY Medgar Evers College,Fall 1992,2,150 Time Graduation,11,9.1
CUNY Medgar Evers College,Fall 1991,1,1 Year Retention,9,66.7
CUNY Medgar Evers College,Fall 1991,2,150 Time Graduation,9,22.2
CUNY Medgar Evers College,Fall 1990,1,1 Year Retention,38,63.2
CUNY Medgar Evers College,Fall 1990,2,150 Time Graduation,38,23.7
CUNY New York City College of Technology,Fall 2017,1,1 Year Retention,912,68.8
CUNY New York City College of Technology,Fall 2016,1,1 Year Retention,572,78.5
CUNY New York City College of Technology,Fall 2015,1,1 Year Retention,559,77.3
CUNY New York City College of Technology,Fall 2014,1,1 Year Retention,537,76.4
CUNY New York City College of Technology,Fall 2013,1,1 Year Retention,430,74.7
CUNY New York City College of Technology,Fall 2012,1,1 Year Retention,235,76.6
CUNY New York City College of Technology,Fall 2012,2,150 Time Graduation,235,27.2
CUNY New York City College of Technology,Fall 2011,1,1 Year Retention,187,77
CUNY New York City College of Technology,Fall 2010,1,1 Year Retention,174,74.1
CUNY New York City College of Technology,Fall 2010,2,150 Time Graduation,187,26.2
CUNY New York City College of Technology,Fall 2009,1,1 Year Retention,176,74.4
CUNY New York City College of Technology,Fall 2009,2,150 Time Graduation,174,24.7
CUNY New York City College of Technology,Fall 2008,1,1 Year Retention,162,80.2
CUNY New York City College of Technology,Fall 2008,2,150 Time Graduation,176,29.5
CUNY New York City College of Technology,Fall 2007,1,1 Year Retention,119,79
CUNY New York City College of Technology,Fall 2007,2,150 Time Graduation,162,20.4
CUNY New York City College of Technology,Fall 2006,1,1 Year Retention,156,75
CUNY New York City College of Technology,Fall 2006,2,150 Time Graduation,119,25.2
CUNY New York City College of Technology,Fall 2005,1,1 Year Retention,204,77.5
CUNY New York City College of Technology,Fall 2005,2,150 Time Graduation,156,23.1
CUNY New York City College of Technology,Fall 2004,1,1 Year Retention,343,77.8
CUNY New York City College of Technology,Fall 2004,2,150 Time Graduation,204,23.5
CUNY New York City College of Technology,Fall 2003,1,1 Year Retention,307,73.3
CUNY New York City College of Technology,Fall 2003,2,150 Time Graduation,343,24.5
CUNY New York City College of Technology,Fall 2002,1,1 Year Retention,198,73.7
CUNY Queens College,Fall 1994,2,150 Time Graduation,1597,37.8
CUNY New York City College of Technology,Fall 2002,2,150 Time Graduation,307,17.3
CUNY New York City College of Technology,Fall 2001,1,1 Year Retention,72,76.4
CUNY New York City College of Technology,Fall 2001,2,150 Time Graduation,198,18.2
CUNY New York City College of Technology,Fall 2000,1,1 Year Retention,11,54.5
CUNY New York City College of Technology,Fall 2000,2,150 Time Graduation,72,11.1
CUNY New York City College of Technology,Fall 1999,1,1 Year Retention,33,72.7
CUNY New York City College of Technology,Fall 1999,2,150 Time Graduation,11,9.1
CUNY New York City College of Technology,Fall 1998,1,1 Year Retention,29,65.5
CUNY New York City College of Technology,Fall 1998,2,150 Time Graduation,33,6.1
CUNY New York City College of Technology,Fall 1997,1,1 Year Retention,22,59.1
CUNY New York City College of Technology,Fall 1997,2,150 Time Graduation,29,6.9
CUNY New York City College of Technology,Fall 1996,1,1 Year Retention,15,66.7
CUNY New York City College of Technology,Fall 1996,2,150 Time Graduation,22,4.5
CUNY New York City College of Technology,Fall 1995,1,1 Year Retention,0,0
CUNY New York City College of Technology,Fall 1995,2,150 Time Graduation,15,20
CUNY New York City College of Technology,Fall 1994,1,1 Year Retention,2,0
CUNY New York City College of Technology,Fall 1994,2,150 Time Graduation,2,0
CUNY New York City College of Technology,Fall 1993,1,1 Year Retention,1,0
CUNY New York City College of Technology,Fall 1993,2,150 Time Graduation,1,0
CUNY Queens College,Fall 2017,1,1 Year Retention,1639,84.3
CUNY Queens College,Fall 2016,1,1 Year Retention,1453,83.8
CUNY Queens College,Fall 2015,1,1 Year Retention,1536,84.3
CUNY Queens College,Fall 2014,1,1 Year Retention,1514,84.9
CUNY Queens College,Fall 2013,1,1 Year Retention,1350,86
CUNY Queens College,Fall 2012,1,1 Year Retention,1427,84.4
CUNY Queens College,Fall 2012,2,150 Time Graduation,1427,56.8
CUNY Queens College,Fall 2011,1,1 Year Retention,1419,86.8
CUNY Queens College,Fall 2011,2,150 Time Graduation,1419,53.8
CUNY Queens College,Fall 2010,1,1 Year Retention,1471,87
CUNY Queens College,Fall 2010,2,150 Time Graduation,1471,60
CUNY Queens College,Fall 2009,1,1 Year Retention,1684,87.8
CUNY Queens College,Fall 2009,2,150 Time Graduation,1684,57.7
CUNY Queens College,Fall 2008,1,1 Year Retention,1642,85.8
CUNY Queens College,Fall 2008,2,150 Time Graduation,1642,56.6
CUNY Queens College,Fall 2007,1,1 Year Retention,1755,84.8
CUNY Queens College,Fall 2007,2,150 Time Graduation,1755,56.4
CUNY Queens College,Fall 2006,1,1 Year Retention,1627,83.8
CUNY Queens College,Fall 2006,2,150 Time Graduation,1627,54.9
CUNY Queens College,Fall 2005,1,1 Year Retention,1470,81.5
CUNY Queens College,Fall 2005,2,150 Time Graduation,1470,53.1
CUNY Queens College,Fall 2004,1,1 Year Retention,1352,83.8
CUNY Queens College,Fall 2004,2,150 Time Graduation,1352,51
CUNY Queens College,Fall 2003,1,1 Year Retention,1290,81
CUNY Queens College,Fall 2003,2,150 Time Graduation,1290,51.8
CUNY Queens College,Fall 2002,1,1 Year Retention,1178,84.6
CUNY Queens College,Fall 2002,2,150 Time Graduation,1178,55.3
CUNY Queens College,Fall 2001,1,1 Year Retention,1204,84.1
CUNY Queens College,Fall 2001,2,150 Time Graduation,1204,52.7
CUNY Queens College,Fall 2000,1,1 Year Retention,1085,83.9
CUNY Queens College,Fall 2000,2,150 Time Graduation,1085,52.6
CUNY Queens College,Fall 1999,1,1 Year Retention,876,82.6
CUNY Queens College,Fall 1999,2,150 Time Graduation,876,50.5
CUNY Queens College,Fall 1998,1,1 Year Retention,1134,83.3
CUNY Queens College,Fall 1998,2,150 Time Graduation,1134,51.1
CUNY Queens College,Fall 1997,1,1 Year Retention,1153,81.7
CUNY Queens College,Fall 1997,2,150 Time Graduation,1153,46.5
CUNY Queens College,Fall 1996,1,1 Year Retention,1041,78.2
CUNY Queens College,Fall 1996,2,150 Time Graduation,1041,47.9
CUNY Queens College,Fall 1995,1,1 Year Retention,1444,77.5
CUNY Queens College,Fall 1995,2,150 Time Graduation,1444,39.8
CUNY Queens College,Fall 1994,1,1 Year Retention,1597,75.3
CUNY Queens College,Fall 1993,1,1 Year Retention,1526,78.9
CUNY Queens College,Fall 1993,2,150 Time Graduation,1526,37.3
CUNY Queens College,Fall 1992,1,1 Year Retention,1448,78.9
CUNY Queens College,Fall 1992,2,150 Time Graduation,1448,38.1
